01058484076	890	1469	2359
01082895409	7596	264	7860
130001099990	28219	21031	49250
13261999999	745	231	976
13341098674	976	7661	8637
13341099905	203	466	669
13601029999	132	1512	1644
13900999999	456	177	633
14512449999	1929	180	2109
14701159999	5432	122	5554
15026889999	264	980	1244
15116949999	743	398	1141
15210039999	132	15152	15284
15510759999	2008	2779	4787
15527194444	5493	189	5682
15542102444	3394	329	3723
15810579999	9087	3673	12760
15910419999	3890	496	4386
18221609878	1732	698	2430
18344215555	3992	738	4730
18476943333	3215	164	3379
18618689999	663	1498	2161
18674215555	4782	968	5750
18810599999	196	3360	3556
18901009997	816	289	1105
31125344449	1892	255	2147
